timestamp,lr,emb,layer,head,batch,ctx,final_loss,time_seconds,steps_used
2026-02-26 15:12:28,0.03,64,1,4,4,16,,4.769088496,9
2026-02-26 15:12:36,0.03,64,1,4,8,16,,8.450614228,1
2026-02-26 15:12:54,0.03,64,1,4,16,16,,18.130008704,1
2026-02-26 15:12:59,0.03,64,1,8,4,16,,4.572330542,5
2026-02-26 15:13:08,0.03,64,1,8,8,16,,8.831798583,1
2026-02-26 15:13:29,0.03,64,1,8,16,16,,21.750849986,11
2026-02-26 15:13:34,0.03,64,2,4,4,16,,4.272909000,1
2026-02-26 15:13:43,0.03,64,2,4,8,16,,8.803708013,1
2026-02-26 15:14:01,0.03,64,2,4,16,16,,18.306877134,1
2026-02-26 15:14:05,0.03,64,2,8,4,16,,4.327792090,1
2026-02-26 15:14:14,0.03,64,2,8,8,16,,8.619675019,1
2026-02-26 15:14:32,0.03,64,2,8,16,16,,18.262116512,1
